,1.A.17.1.1,1.A.17.1.10,1.A.17.1.11,1.A.17.1.12,1.A.17.1.13,1.A.17.1.14,1.A.17.1.15,1.A.17.1.16,1.A.17.1.17,1.A.17.1.18,1.A.17.1.2,1.A.17.1.3,1.A.17.1.4,1.A.17.1.5,1.A.17.1.6,1.A.17.1.7,1.A.17.1.8,1.A.17.1.9,1.A.17.2.1,1.A.17.2.2,1.A.17.2.3,1.A.17.2.4,1.A.17.2.5,1.A.17.3.1,1.A.17.3.10,1.A.17.3.11,1.A.17.3.2,1.A.17.3.3,1.A.17.3.4,1.A.17.3.5,1.A.17.3.6,1.A.17.3.7,1.A.17.3.8,1.A.17.3.9,1.A.17.4.1,1.A.17.4.10,1.A.17.4.11,1.A.17.4.2,1.A.17.4.3,1.A.17.4.4,1.A.17.4.5,1.A.17.4.6,1.A.17.4.7,1.A.17.4.8,1.A.17.4.9,1.A.17.5.1,1.A.17.5.10,1.A.17.5.11,1.A.17.5.12,1.A.17.5.2,1.A.17.5.3,1.A.17.5.4,1.A.17.5.5,1.A.17.5.6,1.A.17.5.7,1.A.17.5.8,1.A.17.5.9,1.A.17.6.1,1.A.17.6.2,1.A.17.6.3,1.A.17.6.4,1.A.17.6.5,1.A.17.6.6,1.A.17.6.7,1.A.17.7.1,1.A.17.7.2,1.A.17.7.3,1.A.17.7.4,1.A.17.7.5
1.A.17.3.11,,24.0,,28.4,27.9,31.3,24.8,30.8,,26.8,25.4,25.7,22.9,,29.4,24.0,,,36.3,26.9,23.7,37.9,27.2,28.3,31.9,1914.8,33.7,28.9,25.9,47.7,28.4,29.7,83.1,30.8,28.5,26.4,24.0,24.9,,36.0,,23.8,,25.4,30.2,26.6,38.0,26.6,34.5,26.6,41.8,53.6,38.1,32.8,23.1,28.0,32.9,29.1,28.2,31.3,25.1,23.0,31.0,26.5,28.1,43.0,26.0,27.3,30.5
1.A.17.3.3,,27.0,25.4,25.9,,39.2,,26.9,,,,,,,,,,,49.5,27.1,26.5,22.4,41.2,212.6,53.4,29.7,159.9,1191.5,141.8,209.2,102.9,37.8,32.5,29.8,,28.3,30.0,31.2,,31.2,,23.6,24.8,,24.3,,,26.8,23.9,24.5,26.0,25.2,25.7,23.7,,26.9,24.1,26.2,26.3,,,,,22.6,29.9,33.0,34.2,30.9,29.0
1.A.17.4.3,,31.5,22.2,,,23.1,,,24.6,25.6,23.0,24.3,31.8,25.1,,,,22.8,33.4,46.0,28.4,22.7,34.6,26.1,,,23.2,,26.1,25.1,28.4,24.0,26.9,22.7,26.2,120.0,105.1,113.0,1259.2,196.4,114.5,122.8,64.5,103.1,58.7,,,,23.2,22.4,22.2,26.1,30.5,27.9,,30.1,,51.9,70.0,60.7,74.2,62.2,63.2,26.3,,,27.4,,
1.A.17.5.12,,23.8,,,23.8,24.1,21.8,,,,,,,,25.1,,24.5,25.6,34.3,26.6,,27.9,27.2,,27.3,35.7,38.2,24.0,24.1,23.5,56.2,30.2,26.1,26.1,,26.7,24.7,23.6,24.6,,23.7,,,26.6,,89.6,114.4,59.8,1183.7,539.1,531.8,42.5,83.4,70.1,56.9,78.0,105.9,31.0,23.2,,28.4,,,24.8,32.1,47.2,22.7,32.8,31.7
1.A.17.5.2,,24.7,,,,,,,,27.2,26.1,,23.6,,,24.5,26.6,27.8,39.2,30.2,29.3,27.3,29.1,,34.0,26.8,33.2,24.2,38.6,24.9,54.5,45.9,38.0,26.8,22.6,,,,23.4,,26.8,,23.7,22.7,25.5,83.8,118.7,78.6,512.3,1268.9,991.7,49.2,86.4,75.2,44.5,78.6,123.8,23.0,,,,25.4,,26.5,31.7,40.6,28.5,40.6,33.3
1.A.17.5.3,,22.4,,27.1,,23.6,,,,24.1,25.2,22.6,25.3,,,23.4,25.0,23.5,37.1,28.4,28.2,25.8,26.3,27.8,41.9,42.4,35.1,25.7,33.5,25.1,57.7,45.9,41.7,27.4,26.6,,,,23.1,,25.5,,26.3,26.1,23.7,79.7,121.6,66.0,514.3,1009.4,1272.4,45.9,90.1,65.0,40.7,73.2,125.6,24.0,,,22.8,31.0,,25.1,36.3,35.4,29.3,32.4,35.9
1.A.17.5.8,,24.0,,,24.2,,,24.7,24.8,,,,,22.6,,,,22.8,28.7,,24.4,25.8,,25.9,25.7,27.9,27.0,26.2,,27.9,28.4,26.7,24.3,26.8,25.2,,23.8,23.6,31.2,25.0,26.1,22.9,,25.7,24.0,89.8,127.2,125.0,74.7,78.5,72.1,42.7,131.6,412.8,131.7,1445.4,136.1,,22.8,,23.5,,,23.6,,36.8,23.8,24.4,
1.A.17.5.9,,23.3,,25.1,27.7,,24.4,23.5,22.4,23.4,,23.6,23.6,24.8,22.6,24.7,,25.4,30.6,28.9,,25.8,28.2,24.7,27.5,32.5,30.3,23.4,26.6,23.5,37.3,29.9,26.7,33.6,,22.2,23.3,,,23.6,23.7,,22.9,23.2,,29.8,749.6,123.2,99.9,122.1,122.1,54.5,148.5,131.3,84.2,134.0,1225.2,,27.8,24.2,,,,27.1,27.9,30.3,23.4,30.3,29.0
1.A.17.6.1,,26.3,,33.8,44.4,,,37.8,,25.1,,23.8,,,22.8,23.1,24.5,28.7,47.8,28.7,,31.7,30.1,29.7,,34.3,,26.4,,,,25.3,27.7,24.8,43.0,25.5,39.2,38.4,25.8,26.6,29.0,40.9,27.4,28.3,30.4,,22.6,,31.2,23.4,24.5,23.0,23.2,22.6,25.6,,,1240.6,193.4,47.7,28.6,77.5,74.3,29.6,24.5,27.9,23.2,22.5,
1.A.17.7.4,,21.7,,29.8,29.2,29.9,21.2,24.0,24.6,21.5,,,,,30.3,31.7,24.5,35.5,31.2,43.3,32.1,30.7,22.3,,32.6,29.3,25.3,32.4,,,30.1,44.0,25.3,30.0,22.1,,,22.3,,,27.9,,22.0,24.9,24.0,26.4,38.7,27.8,34.3,44.0,34.6,27.0,37.8,35.7,27.0,26.2,33.1,23.4,23.2,25.0,24.6,,,28.0,26.3,100.8,146.4,683.0,25.8
1.A.17.3.4,,,27.4,24.2,,,,24.9,22.9,,,,23.6,,,24.5,23.4,28.5,,22.8,,,33.1,98.0,52.5,24.2,69.2,121.2,2094.9,81.0,60.4,32.0,25.3,30.2,22.8,25.0,22.6,,25.3,25.4,,,,,26.8,,28.4,,,35.5,30.8,30.8,,,,,25.3,,24.7,26.6,23.2,24.5,23.0,,28.3,27.1,,,29.0
1.A.17.4.2,,,26.3,,,22.2,22.3,,,,24.6,24.8,23.1,22.4,,25.8,,24.0,49.3,34.1,26.8,21.6,27.2,32.1,,24.9,,30.7,,24.6,25.1,32.3,24.3,27.0,143.6,148.1,873.8,1069.5,125.1,144.8,196.2,139.9,75.9,124.8,84.2,,23.7,21.9,23.0,,,,26.4,23.1,,23.7,,37.3,77.8,52.9,26.5,32.4,50.1,30.5,27.5,24.1,,,22.8
1.A.17.4.4,,,,25.5,23.4,,24.2,26.7,26.0,23.4,,,22.4,,,,25.0,,59.3,49.1,37.8,38.7,51.8,28.3,,35.9,,30.2,27.1,32.6,28.6,33.6,24.5,30.4,136.0,181.7,141.6,138.0,208.2,1276.1,188.0,130.1,69.6,58.3,74.6,,,22.1,,,,30.3,28.0,22.8,,25.1,23.9,25.7,87.8,32.0,27.4,59.5,78.3,42.1,25.1,22.2,25.4,,22.4
1.A.17.3.2,,,,,25.1,26.9,,26.5,22.7,,,,,,,,,26.1,21.7,26.4,23.3,,26.1,299.3,32.2,27.9,1341.0,145.2,73.4,141.3,40.8,33.2,26.5,26.3,,,,,23.4,,26.6,,,26.4,23.5,22.3,24.2,24.5,35.8,32.1,33.7,25.9,22.5,,23.1,26.4,29.9,,,,24.6,21.8,23.0,,,22.0,,24.8,25.0
1.A.17.5.1,,,,,22.7,,,22.9,26.0,,24.6,,24.3,,,,22.0,,25.8,25.5,,24.1,,23.7,29.4,27.4,23.4,,24.1,,53.0,29.9,22.8,31.5,,22.5,,,,22.0,22.4,,,24.2,26.1,1006.3,26.2,94.0,90.6,88.4,82.9,39.6,77.0,80.7,75.0,94.8,26.0,,22.1,,23.7,,,26.5,25.1,42.3,27.8,25.4,25.6
1.A.17.5.6,,,,,24.0,22.7,,,,,25.2,23.1,,23.5,,,22.7,,26.1,22.6,,22.0,23.0,25.2,,33.2,,23.4,23.8,22.8,25.6,,27.3,29.5,30.4,,23.8,23.2,29.2,22.9,29.5,,23.3,23.2,,28.5,133.0,108.2,68.6,76.7,65.4,31.9,97.9,1461.9,134.2,423.7,136.5,,,24.0,24.4,,23.9,25.7,,25.2,28.9,33.4,23.6
1.A.17.4.11,,,,,,,22.0,,,,22.2,27.9,22.9,,,23.1,24.5,24.5,39.8,28.2,27.5,23.7,26.1,32.6,,23.8,,28.9,23.8,,25.6,29.0,,,138.2,155.3,1147.6,823.2,110.6,141.1,208.2,137.9,75.4,127.3,86.0,,21.9,,23.9,,,23.6,,23.5,,23.7,23.4,37.1,67.4,53.3,29.1,33.1,57.5,29.6,27.5,,,,22.6
